FechaEncuesta,Educacion,Salario,Hobby,Pais,StackOverflowJobsRecommend,VersionControl,Edad,AniosExper,Genero,SalarioPlano
9/24/2018 14:14,Some college/university study without earning a degree,69452,Yes,UK,8,Git,46,11,Male,"£69,452.00"
3/12/2018 10:45,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),63896,Yes,Ukraine,,Git,24,11,Male,"63,896.00"
8/3/2018 16:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,France,0,Git;Mercurial,25,14,Male,
3/15/2018 20:00,Bachelor's degree (BA. BS. B.Eng.. etc.),63628,Yes,Ukraine,8,Git,38,5,Male,"63,628.00"
9/27/2018 5:22,Bachelor's degree (BA. BS. B.Eng.. etc.),110000,Yes,France,10,Git,50,1,Male,"110,000.00"
7/6/2018 23:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),,No,South Africa,,Team Foundation Version Control;Copying and pasting files to network shares,46,3,,
2/19/2018 2:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),,No,Russia,,Git,51,18,Male,
6/23/2018 16:59,Bachelor's degree (BA. BS. B.Eng.. etc.),28680,Yes,Spain,,Git,46,7,,"28,680.00"
6/6/2018 0:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),9768,Yes,Sweeden,,Git;Subversion,30,15,,"9,768.00"
1/15/2018 3:37,Master's degree (MA. MS. M.Eng.. MBA. etc.),21418,Yes,Sweeden,,Git,40,8,,"21,418.00"
7/12/2018 8:01,Some college/university study without earning a degree,916764,Yes,France,2,Git,51,8,Male,"916,764.00"
5/5/2018 20:24,Bachelor's degree (BA. BS. B.Eng.. etc.),30597,Yes,South Africa,0,Git,19,3,Male,"30,597.00"
2/14/2018 15:10,Bachelor's degree (BA. BS. B.Eng.. etc.),59980,No,India,,Git,29,13,,"59,980.00"
10/11/2018 17:09,Bachelor's degree (BA. BS. B.Eng.. etc.),228888,No,Russia,10,Git,33,6,Male,"228,888.00"
2/23/2018 0:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,France,,Git,21,11,,
4/29/2018 12:10,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git,44,10,Male,
2/12/2018 23:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),42348,Yes,USA,,Git,41,8,Male,"$42,348.00 "
9/22/2018 15:17,Master's degree (MA. MS. M.Eng.. MBA. etc.),48955,Yes,India,,Git;Subversion,20,11,Male,"48,955.00"
6/20/2018 23:19,Bachelor's degree (BA. BS. B.Eng.. etc.),37572,Yes,UK,7,Git,43,9,,"£37,572.00"
9/15/2018 0:46,Some college/university study without earning a degree,34726,Yes,France,7,Git,35,1,Male,"34,726.00"
9/24/2018 19:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),55392,Yes,USA,10,Git,25,18,Male,"$55,392.00 "
7/29/2018 18:35,Bachelor's degree (BA. BS. B.Eng.. etc.),27708,Yes,Sweeden,9,Git;Subversion,44,10,Male,"27,708.00"
7/12/2018 11:55,Bachelor's degree (BA. BS. B.Eng.. etc.),70000,Yes,France,,I don't use version control,36,12,,"70,000.00"
6/3/2018 14:53,Master's degree (MA. MS. M.Eng.. MBA. etc.),59172,Yes,Spain,,Git;Subversion,38,12,Male,"59,172.00"
9/29/2018 13:45,Master's degree (MA. MS. M.Eng.. MBA. etc.),59980,Yes,South Africa,5,Git,36,9,,"59,980.00"
5/31/2018 13:02,Bachelor's degree (BA. BS. B.Eng.. etc.),91969,Yes,Spain,7,Git;Mercurial,25,14,Male,"91,969.00"
3/6/2018 1:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),9984,Yes,USA,10,Git;Team Foundation Version Control,24,6,Male,"$9,984.00 "
1/10/2018 0:46,Bachelor's degree (BA. BS. B.Eng.. etc.),55075,Yes,South Africa,7,Git,60,12,,"55,075.00"
8/14/2018 11:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,3,Git,41,8,,
3/13/2018 13:14,Some college/university study without earning a degree,87971,Yes,Spain,,Copying and pasting files to network shares,51,12,,"87,971.00"
2/1/2018 0:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),7512,Yes,UK,10,Git,48,14,Male,"£7,512.00"
8/15/2018 9:44,Bachelor's degree (BA. BS. B.Eng.. etc.),105000,No,Spain,8,Git,18,10,Male,"105,000.00"
6/17/2018 10:34,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,,Team Foundation Version Control,41,13,Male,
8/16/2018 16:26,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,UK,,Git,24,9,Male,
8/10/2018 17:53,Associate degree,105000,Yes,USA,,Git,33,6,Male,"$105,000.00 "
9/11/2018 15:40,Some college/university study without earning a degree,,Yes,USA,,Git,26,11,,
9/16/2018 3:24,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Ukraine,,Subversion,32,7,Male,
8/9/2018 5:06,Bachelor's degree (BA. BS. B.Eng.. etc.),36000,Yes,Russia,8,Git;Team Foundation Version Control,21,12,Male,"36,000.00"
2/15/2018 4:19,Bachelor's degree (BA. BS. B.Eng.. etc.),120000,Yes,Spain,,Git;Subversion,24,9,Male,"120,000.00"
4/19/2018 1:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),61680,Yes,South Africa,8,Git,36,7,,"61,680.00"
7/26/2018 20:14,Professional degree (JD. MD. etc.),42836,Yes,Ireland,5,Git,43,10,Male,"42,836.00"
7/26/2018 11:08,Some college/university study without earning a degree,29532,Yes,South Africa,5,Git,46,0,,"29,532.00"
8/29/2018 15:58,Master's degree (MA. MS. M.Eng.. MBA. etc.),64866,No,Sweeden,7,Team Foundation Version Control,60,9,,"64,866.00"
8/6/2018 12:09,Associate degree,77000,Yes,South Africa,8,Git,58,6,Male,"77,000.00"
5/19/2018 0:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),36000,Yes,UK,,Git;Subversion;Team Foundation Version Control,39,12,Male,"£36,000.00"
6/9/2018 20:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,,Git,24,0,Male,
9/14/2018 5:46,Some college/university study without earning a degree,97000,Yes,France,4,Git;Team Foundation Version Control,39,13,Male,"97,000.00"
10/16/2018 15:07,Some college/university study without earning a degree,,No,India,,Git;Subversion,32,7,Male,
9/23/2018 19:08,Bachelor's degree (BA. BS. B.Eng.. etc.),45838,Yes,USA,,Git;Subversion;Team Foundation Version Control,31,10,Male,"$45,838.00 "
3/18/2018 4:28,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),59880,Yes,Spain,9,Git;Subversion,43,5,Male,"59,880.00"
10/12/2018 0:50,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),48955,No,UK,,Git,26,4,,"£48,955.00"
8/2/2018 19:55,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),6732,Yes,India,,Git,54,16,Male,"6,732.00"
5/31/2018 4:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),125000,Yes,UK,,Git,32,13,Male,"£125,000.00"
7/30/2018 2:56,Bachelor's degree (BA. BS. B.Eng.. etc.),72469,Yes,Spain,10,Git;Mercurial;Subversion,40,10,Male,"72,469.00"
1/4/2018 14:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,India,7,Git;Subversion,29,7,,
9/3/2018 18:07,Bachelor's degree (BA. BS. B.Eng.. etc.),11808,Yes,Sweeden,,Git,38,4,,"11,808.00"
1/4/2018 8:26,Some college/university study without earning a degree,,Yes,UK,,Git;Team Foundation Version Control,39,11,Male,
3/21/2018 20:41,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),39648,No,Sweeden,5,Git,34,11,,"39,648.00"
3/28/2018 7:29,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git,20,5,,
5/25/2018 14:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,8,Subversion,18,5,Male,
10/22/2018 19:56,Bachelor's degree (BA. BS. B.Eng.. etc.),62507,Yes,Sweeden,5,Git,63,7,Male,"62,507.00"
1/3/2018 23:54,Some college/university study without earning a degree,29373,Yes,Spain,7,Git,51,4,Male,"29,373.00"
8/26/2018 5:48,Bachelor's degree (BA. BS. B.Eng.. etc.),74482,No,South Africa,7,Subversion,45,9,Male,"74,482.00"
7/31/2018 12:42,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,,Git,27,8,Male,
4/10/2018 17:11,Some college/university study without earning a degree,12960,Yes,UK,10,Git,34,14,Male,"£12,960.00"
7/24/2018 23:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,10,Git;Mercurial;Subversion,29,9,Male,
8/6/2018 20:05,Bachelor's degree (BA. BS. B.Eng.. etc.),73433,Yes,South Africa,10,Git,32,12,Male,"73,433.00"
7/7/2018 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),1080000,Yes,India,8,Git,24,12,Male,"1,080,000.00"
7/17/2018 9:42,Bachelor's degree (BA. BS. B.Eng.. etc.),90288,Yes,India,1,Git,18,2,,"90,288.00"
3/16/2018 20:51,Bachelor's degree (BA. BS. B.Eng.. etc.),122388,Yes,Russia,8,Git,34,15,Male,"122,388.00"
8/23/2018 13:55,Some college/university study without earning a degree,37084,Yes,Sweeden,10,Subversion,44,10,Male,"37,084.00"
2/14/2018 13:19,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),11748,Yes,USA,7,Git;Subversion,40,8,,"$11,748.00 "
2/10/2018 3:20,Associate degree,100000,No,India,,I don't use version control,28,8,,"100,000.00"
6/18/2018 13:34,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,Spain,,Git;Subversion,35,16,Male,
1/17/2018 4:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),60000,Yes,Sweeden,10,Git,25,5,Male,"60,000.00"
9/22/2018 12:42,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git;Team Foundation Version Control,33,8,Male,
6/8/2018 22:51,Master's degree (MA. MS. M.Eng.. MBA. etc.),10440,Yes,USA,,Git;Team Foundation Version Control,19,6,,"$10,440.00 "
8/13/2018 23:02,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,India,,Git,34,0,Male,
6/19/2018 18:26,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Zip file back-ups,44,17,Male,
5/17/2018 12:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),46992,No,India,,Git,44,19,Male,"46,992.00"
2/26/2018 4:05,Bachelor's degree (BA. BS. B.Eng.. etc.),61580,No,Sweeden,5,Git;Subversion;Team Foundation Version Control,23,1,Male,"61,580.00"
6/7/2018 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),26612,Yes,UK,,Git,39,10,Male,"£26,612.00"
2/5/2018 4:26,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,UK,10,Git;Subversion,21,17,Male,
5/22/2018 13:48,Bachelor's degree (BA. BS. B.Eng.. etc.),18780,Yes,Spain,7,Git,20,11,,"18,780.00"
9/26/2018 11:15,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Team Foundation Version Control,21,13,Male,
1/20/2018 17:57,Some college/university study without earning a degree,23440,Yes,USA,,Git;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,63,9,,"$23,440.00 "
1/4/2018 2:56,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),42836,Yes,UK,,Git,48,11,Male,"£42,836.00"
4/30/2018 17:30,Master's degree (MA. MS. M.Eng.. MBA. etc.),3569,Yes,India,10,Git;Copying and pasting files to network shares,38,1,,"3,569.00"
4/21/2018 6:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git;Mercurial;Copying and pasting files to network shares;Zip file back-ups,29,14,,
2/9/2018 1:40,Bachelor's degree (BA. BS. B.Eng.. etc.),1140000,Yes,Sweeden,,Subversion,38,13,Male,"1,140,000.00"
3/6/2018 18:22,Bachelor's degree (BA. BS. B.Eng.. etc.),1879,Yes,Spain,5,Git;Mercurial,60,14,Male,"1,879.00"
8/9/2018 8:21,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,37,15,Male,
5/8/2018 13:59,Some college/university study without earning a degree,79552,Yes,USA,,Git,23,11,,"$79,552.00 "
5/22/2018 8:44,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,6,Git,55,13,Male,
9/15/2018 7:24,Bachelor's degree (BA. BS. B.Eng.. etc.),46963,No,Russia,,Git,44,18,,"46,963.00"
5/7/2018 4:25,Master's degree (MA. MS. M.Eng.. MBA. etc.),8140,Yes,USA,10,Team Foundation Version Control,18,7,Male,"$8,140.00 "
8/13/2018 9:00,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,India,,Git;Subversion,21,7,,
3/5/2018 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),81000,Yes,USA,8,Git,35,15,Male,"$81,000.00 "
10/14/2018 22:41,Other doctoral degree (Ph.D. Ed.D.. etc.),440592,Yes,USA,7,Git;Team Foundation Version Control,26,15,Male,"$440,592.00 "
6/6/2018 13:00,Associate degree,20244,Yes,France,,Git,30,11,Male,"20,244.00"
9/21/2018 4:14,Some college/university study without earning a degree,,Yes,France,10,Git;Copying and pasting files to network shares;Zip file back-ups,35,10,,
7/24/2018 10:00,Master's degree (MA. MS. M.Eng.. MBA. etc.),33528,Yes,South Africa,2,Git;Subversion,36,15,Male,"33,528.00"
2/13/2018 23:20,Bachelor's degree (BA. BS. B.Eng.. etc.),65000,Yes,USA,,Git;Copying and pasting files to network shares,32,14,Male,"$65,000.00 "
4/14/2018 14:04,Bachelor's degree (BA. BS. B.Eng.. etc.),21708,Yes,USA,8,Git,63,7,,"$21,708.00 "
9/8/2018 17:23,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),58746,Yes,Spain,8,Git,35,18,Male,"58,746.00"
4/30/2018 3:12,Bachelor's degree (BA. BS. B.Eng.. etc.),52783,No,India,,Git,18,11,,"52,783.00"
6/4/2018 1:14,Master's degree (MA. MS. M.Eng.. MBA. etc.),32316,No,USA,0,Git,39,13,Male,"$32,316.00 "
8/8/2018 22:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,Spain,,Git,33,5,Male,
10/23/2018 19:01,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git,34,5,Male,
4/26/2018 0:21,Some college/university study without earning a degree,8496,No,UK,,Git,29,5,,"£8,496.00"
9/14/2018 11:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),45895,Yes,USA,10,Git;Subversion,18,11,Male,"$45,895.00 "
4/2/2018 3:49,Some college/university study without earning a degree,9552,Yes,India,,Subversion,18,17,Female,"9,552.00"
9/13/2018 20:48,Bachelor's degree (BA. BS. B.Eng.. etc.),4512,Yes,France,,Git,31,6,,"4,512.00"
2/8/2018 10:18,Bachelor's degree (BA. BS. B.Eng.. etc.),38510,Yes,UK,6,Git,34,10,Male,"£38,510.00"
6/5/2018 12:15,Bachelor's degree (BA. BS. B.Eng.. etc.),105000,Yes,France,5,Git,42,23,Male,"105,000.00"
5/22/2018 19:31,Bachelor's degree (BA. BS. B.Eng.. etc.),47227,Yes,USA,5,Git;Mercurial,59,3,Male,"$47,227.00 "
1/5/2018 19:09,Associate degree,20808,Yes,UK,6,Git,45,0,,"£20,808.00"
1/9/2018 7:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,,I don't use version control,83,14,Male,
4/6/2018 23:31,Master's degree (MA. MS. M.Eng.. MBA. etc.),100000,No,Sweeden,,Team Foundation Version Control,26,11,Male,"100,000.00"
2/22/2018 9:18,Some college/university study without earning a degree,,Yes,Russia,4,Git,45,3,Male,
8/26/2018 19:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),33972,No,USA,8,Git,36,8,Male,"$33,972.00 "
2/23/2018 5:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,10,Git;Subversion,24,7,Male,
3/24/2018 0:36,Some college/university study without earning a degree,2000000,Yes,Russia,10,Git,31,15,Male,"2,000,000.00"
7/17/2018 9:04,Bachelor's degree (BA. BS. B.Eng.. etc.),74856,Yes,France,10,Git,73,13,Male,"74,856.00"
1/14/2018 19:13,Master's degree (MA. MS. M.Eng.. MBA. etc.),44060,Yes,France,6,Git,21,9,Male,"44,060.00"
7/24/2018 11:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),140000,Yes,USA,,Git,48,13,,"$140,000.00 "
10/10/2018 4:37,Bachelor's degree (BA. BS. B.Eng.. etc.),7140,Yes,Spain,,Git,40,12,,"7,140.00"
9/28/2018 19:41,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,36,7,,
10/23/2018 5:58,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,South Africa,,Git,19,9,,
8/22/2018 1:37,Bachelor's degree (BA. BS. B.Eng.. etc.),59500,Yes,France,10,Mercurial,46,7,,"59,500.00"
