Price,Area,Room,Lon,Lat
7.00E+05,102,3,4.969203,52.372762
5.00E+05,72,2,4.922788,52.342942
369000,47,3,4.933378,52.364949
245000,68,3,4.9688878,52.2923239
350000,65,4,4.885364,52.412066
425000,69,3,4.850643,52.379711
NA,147,3,4.897454,52.360707
375000,94,4,4.800745,52.379133
335000,92,4,4.936896,52.394478
450000,56,3,4.888332,52.349498
395000,101,5,4.993551,52.292948
3.00E+05,45,2,4.87065,52.37314
450000,84,3,4.944032,52.365457
415000,51,2,4.853803,52.366082
650000,67,4,4.901713,52.360545
425000,52,2,4.876149,52.390376
469000,67,2,4.882743,52.382746
485000,73,4,4.924634,52.368555
225000,32,1,4.860857,52.380834
285000,29,2,4.880046,52.384661
995000,97,2,4.884982,52.369202
1475000,220,5,4.920481,52.366984
475000,60,3,4.868057,52.370073
475000,124,5,4.837522,52.364821
395000,56,2,4.848779,52.348138
375000,47,2,4.896579,52.372127
4.00E+05,37,2,4.855832,52.352385
325000,42,2,4.879081,52.390874
4.00E+05,53,3,4.864958,52.343986
475000,80,3,4.868693,52.343328
425000,68,3,4.944251,52.352317
375000,101,3,4.819711,52.379837
365000,47,2,4.871178,52.382031
5.00E+05,67,3,4.926673,52.356043
450000,92,3,4.835487,52.353658
725000,95,3,4.886006,52.377377
4550000,497,13,4.89862,52.358798
225000,52,2,4.976804,52.325544
375000,55,3,4.862201,52.373597
495000,74,3,4.867549,52.384604
475000,58,3,4.885902,52.363158
450000,53,2,4.882472,52.365273
475000,66,3,4.910224,52.347296
475000,62,3,4.848941,52.351734
345000,61,3,4.798199,52.362969
369000,78,3,4.841525,52.35007
320000,91,4,4.983191,52.294198
465000,66,3,4.917899,52.386198
340000,35,2,4.898311,52.373509
375000,111,5,4.970987,52.301346
595000,93,3,4.910003,52.356903
525000,92,3,4.936101,52.371484
245000,61,3,4.789682,52.355404
275000,85,4,4.95037,52.399252
575000,72,2,4.931839,52.369014
250000,70,3,4.968806,52.291803
975000,165,5,4.946186,52.373257
375000,52,2,4.875248,52.376809
1100000,159,5,4.919919,52.338283
750000,102,3,4.877406,52.394832
439000,55,3,4.90487,52.374978
375000,57,2,4.91638,52.352165
445000,66,3,4.909207,52.369475
325000,77,4,4.947655,52.395417
415000,57,2,4.865612,52.373199
3.00E+05,43,2,4.868786,52.365466
915000,88,5,4.887412,52.377742
685000,183,6,4.7717,52.35337
350000,50,3,4.85167,52.366405
1025000,135,4,4.875881,52.347368
895000,177,4,4.924895,52.373122
350000,59,2,4.84399,52.362946
265000,65,3,4.81787,52.383684
5.00E+05,100,4,4.802122,52.346011
295000,106,4,4.977496,52.295032
1175000,159,7,4.873365,52.349164
995000,113,3,4.888199,52.374321
385000,54,2,4.889927,52.348587
550000,89,4,4.870523,52.365141
325000,40,2,4.862992,52.365
225000,62,2,4.957403,52.309773
395000,66,3,4.885793,52.324797
425000,102,4,4.789341,52.380775
525000,64,4,4.878779,52.368556
8.00E+05,132,6,4.824867,52.35227
4.00E+05,88,4,4.80651,52.359451
250000,50,2,4.959052,52.3958
360000,41,2,4.873624,52.382635
1050000,154,4,4.968819,52.373001
799000,230,8,4.961381,52.389087
1700000,194,6,4.896542,52.360937
825000,178,7,4.870427,52.324201
290000,50,2,4.834901,52.378363
469000,50,3,4.893043,52.37844
625000,74,3,4.89965,52.366621
1050000,149,8,4.904917,52.362949
540000,79,4,4.88439,52.413734
285000,96,4,4.972596,52.317512
859000,168,3,5.016505,52.350556
275000,63,2,4.93924,52.396536
525000,153,6,4.778978,52.349265
375000,73,4,4.826759,52.356709
399500,89,2,4.807068,52.362692
430000,103,4,4.807703,52.363646
1300000,141,4,4.904363,52.333206
1750000,130,3,4.872151,52.336348
950000,109,4,4.879612,52.377871
1450000,150,3,4.88987,52.370706
285000,69,3,4.979002,52.318782
3.00E+05,54,2,4.846858,52.384197
1500000,166,4,4.857216,52.325762
685000,107,4,4.868754,52.341846
4495000,178,5,4.89429,52.373106
989000,171,5,4.893261,52.419532
765000,100,4,4.964853,52.409986
9.00E+05,159,9,4.886918,52.323885
665000,118,4,4.938738,52.356081
2475000,183,4,4.897473,52.358943
475000,98,4,4.83852,52.379072
3.00E+05,78,4,4.950977,52.393821
350000,103,4,4.809689,52.378
450000,45,2,4.9064,52.358857
6.00E+05,145,4,4.799931,52.334488
350000,39,2,4.874462,52.38503
595000,100,3,4.84313,52.359998
335000,42,2,4.862224,52.364187
1295000,154,4,4.867645,52.348806
825000,103,3,4.885645,52.35602
5950000,394,10,4.887378,52.365078
325000,85,4,4.976098,52.308383
450000,115,3,4.798695,52.352124
1450000,125,2,4.891701,52.367182
585000,99,3,4.835845,52.366451
1200000,105,4,4.886034,52.379546
1550000,153,5,4.88242,52.360824
1250000,147,4,4.891955,52.38514
998000,121,2,4.891161,52.378843
395000,54,3,4.857567,52.370557
935000,85,3,4.8887,52.365003
1050000,63,3,4.90885,52.365524
729000,110,5,4.90132,52.375059
699000,130,5,4.788762,52.344183
1500000,255,7,4.790343,52.345566
4.00E+05,25,2,4.962333,52.362891
550000,102,4,4.858163,52.379474
950000,133,7,4.644819,52.37806
975000,93,3,4.882903,52.354535
295000,79,3,4.807977,52.357443
350000,71,4,4.803337,52.378625
685000,110,4,4.901539,52.333097
1499000,245,8,4.854662,52.358204
1275000,165,5,4.882122,52.366395
375000,38,1,4.886109,52.363042
1595000,199,6,4.888459,52.375994
439000,48,2,4.917931,52.367418
785000,95,5,4.861607,52.367915
395000,68,3,4.920126,52.388122
595000,78,3,4.893924,52.379828
875000,117,3,4.906839,52.371272
295000,29,2,4.887596,52.367946
520000,80,2,4.872336,52.33033
439000,57,3,4.862129,52.347398
410000,66,4,4.920472,52.357987
275000,23,1,4.877725,52.376041
2450000,259,8,4.883278,52.375756
350000,45,2,4.873726,52.382654
1795000,158,6,4.912109,52.350755
835000,120,5,4.88447,52.382635
985000,111,5,4.890089,52.371683
425000,56,2,4.943696,52.338795
635000,58,3,4.907085,52.372907
999500,151,3,4.907627,52.376281
1050000,151,4,4.880571,52.362038
225000,60,3,4.790457,52.35459
1099000,165,5,4.875455,52.347348
895000,103,3,4.885645,52.35602
899000,258,1,4.967897,52.410672
799000,146,5,4.858845,52.343402
719000,129,4,4.802093,52.343737
750000,119,6,4.890977,52.380642
285000,37,2,4.807805,52.344914
285000,37,2,4.807805,52.344914
9.00E+05,111,2,4.887092,52.376105
475000,93,3,5.009767,52.349453
545000,110,4,4.789083,52.379219
685000,94,3,4.873591,52.374016
2200000,198,7,4.865847,52.353256
650000,81,3,4.897432,52.366729
1100011,207,5,4.90048,52.400948
1200000,81,3,4.858004,52.3574
1495000,214,5,5.029122,52.41355
295000,47,2,4.860857,52.380834
1.00E+06,117,4,4.892522,52.367449
1150000,162,5,4.890591,52.375342
2250000,250,8,4.915246,52.364132
1350000,173,5,4.887183,52.355065
1650000,232,9,4.887183,52.35502
2750000,309,8,4.862413,52.349528
1050000,216,7,4.979483,52.361333
469000,90,3,4.903526,52.374705
669000,107,5,4.89278,52.420465
3.00E+05,71,2,4.976454,52.306326
425000,49,2,4.852468,52.380663
749000,150,5,4.909819096,52.36865325
7.00E+05,186,8,4.786024,52.348087
389000,30,2,4.906059,52.374085
9.00E+05,187,6,4.797164,52.343623
1750000,246,8,4.909819096,52.36865325
275000,85,4,4.943931,52.321174
3500000,374,7,4.857608,52.352366
4.00E+05,79,3,4.826718,52.343893
850000,110,2,4.936223,52.360906
1700000,203,5,4.869966,52.349904
2325000,150,6,4.896842,52.366965
1495000,175,6,4.888094,52.368029
549000,91,5,4.943456,52.376191
1375000,115,3,4.881814,52.361226
1250000,165,7,4.879978,52.374421
5.00E+05,72,2,4.887619,52.381092
575000,183,5,4.881542,52.41986
2475000,183,3,4.897473,52.358943
1425000,257,4,4.905372,52.373727
1695000,117,3,4.876144,52.358928
515000,130,4,4.7836987,52.3496214
1095000,134,3,4.872859,52.335851
2500000,202,6,4.876117,52.359763
519900,120,5,4.937065,52.400905
7.00E+05,88,5,4.902826,52.363883
2650000,387,10,4.89935,52.355179
1149000,141,6,4.891921,52.347409
280000,93,4,4.95868,52.309724
6.00E+05,129,4,4.905853,52.369804
950000,94,1,4.886388,52.393577
849000,120,3,4.893709,52.375387
3680000,374,4,4.905695,52.385321
850000,149,7,4.859626,52.365326
750750,114,4,4.902864,52.349279
1400000,213,7,4.897256,52.373343
4900000,623,13,4.887869,52.371039
899000,128,5,4.960756,52.409584
895000,95,3,4.960756,52.409584
1695000,467,14,4.97083,52.412038
1085000,131,5,4.876231,52.347558
3.00E+05,30,3,4.832087,52.354406
649000,82,3,4.910725,52.370289
785000,105,5,4.910725,52.370289
565000,94,3,4.825673,52.361323
1395000,133,3,4.898884,52.418864
795000,102,3,4.884579,52.364626
1200000,121,4,4.881097,52.368746
995000,146,3,4.895233,52.365084
775000,127,3,4.895121,52.361947
825000,148,3,4.895224,52.361929
1249000,258,5,4.967897,52.410672
NA,366,12,4.787874,52.383877
380000,100,4,4.80256,52.380679
450000,120,5,4.956167,52.317822
399000,66,2,4.923315,52.379524
650000,102,3,4.877436,52.375551
485000,109,1,4.817309,52.345051
1599000,139,5,4.868596,52.361672
950000,226,7,4.776234,52.349215
629000,127,4,4.794478,52.338652
359000,69,4,4.965813,52.381514
419000,75,4,4.952089,52.36658
250000,60,3,4.945909,52.320409
320000,104,5,4.976237,52.296421
3500000,348,8,4.889816,52.375532
415000,115,4,4.961952,52.321743
750000,124,5,4.918831,52.363292
420000,73,3,4.859128,52.327841
525000,63,3,4.892914,52.384794
550000,107,4,4.997979,52.354825
450000,60,4,4.928173,52.355788
425000,54,3,4.861234,52.346145
699000,108,6,4.878139,52.373119
675000,95,3,4.906809,52.353645
1150000,150,5,4.853623,52.360284
1250000,131,4,4.878356,52.394101
1450000,158,4,4.878463,52.394178
240000,26,1,4.913448,52.370666
345000,80,3,4.795934,52.350007
425000,56,3,4.880816,52.37278
250000,60,2,4.947171,52.325081
485000,59,3,4.925675,52.358255
1200000,166,5,4.872275,52.362146
325000,71,4,4.827036,52.353376
275000,39,2,4.839165,52.37701
365000,78,3,4.886519,52.331919
3.00E+05,84,4,4.991578,52.293948
485000,67,3,4.874335,52.379574
725000,87,4,4.881073,52.382434
325000,87,3,4.788052,52.349876
225000,61,3,4.945309,52.319741
690000,100,3,4.881116,52.393955
250000,28,1,4.877315,52.376658
825000,114,3,4.866454,52.362822
239000,53,3,4.977675,52.324231
4.00E+05,49,2,4.872222,52.366766
430000,58,3,4.849307,52.35303
485000,65,3,4.940682,52.349698
3.00E+05,44,2,4.85225,52.367037
550000,61,3,4.884848,52.352502
325000,41,2,4.867459,52.375562
250000,29,2,4.872989,52.366428
675000,109,3,4.8479,52.372221
295000,91,4,4.795401,52.348468
350000,92,3,4.954434,52.393227
375000,98,5,4.990488,52.292974
360000,53,2,4.860817,52.380045
325000,85,4,4.901357,52.419916
250000,61,2,4.812509,52.383676
550000,102,3,4.945592,52.362164
325000,76,3,4.910084,52.406722
235000,26,2,4.944758,52.36173
450000,56,2,4.904866,52.354123
245000,71,3,4.98042,52.299114
1400000,153,4,4.875155,52.346664
650000,90,3,4.900901,52.386904
465000,67,3,4.846172,52.351371
735000,104,3,4.87459,52.347318
675000,93,4,4.902853,52.358348
425000,78,2,4.837463,52.376658
635000,90,3,4.891367,52.389872
3.00E+05,35,1,4.872597,52.366735
375000,99,4,4.981355,52.320364
3.00E+05,35,2,4.888159,52.351789
910000,136,5,4.888188,52.3492
385000,65,3,4.87989,52.331729
775000,93,3,4.875949,52.366908
349500,51,3,4.941752,52.339554
375000,65,3,4.852493,52.377329
325000,41,2,4.871342,52.383093
295000,89,4,4.945355,52.323983
345000,50,2,4.849011,52.384683
325000,88,3,4.809676,52.361641
245000,73,3,4.98366,52.294299
650000,70,3,4.892242,52.354197
450000,56,4,4.850735,52.370868
525000,176,5,4.986145,52.316165
315000,81,3,4.80824,52.357393
5.00E+05,83,4,4.917034,52.395677
285000,36,2,4.887419,52.388788
6.00E+05,116,4,4.895989,52.373751
425000,67,3,4.881551,52.376576
225000,53,3,4.974337,52.324304
440000,59,3,4.85128,52.359788
450000,85,3,4.937516,52.370995
425000,75,3,4.8814,52.388529
230000,60,2,4.942778,52.320576
395000,69,3,4.927419,52.369015
550000,93,3,4.948159,52.377174
350000,93,3,4.960086,52.318673
335000,92,4,4.936689,52.394567
3.00E+05,92,4,4.922975,52.410584
270000,84,3,4.976048,52.29785
675000,136,5,4.933513,52.407695
450000,73,3,4.869487,52.378402
450000,53,2,4.90355,52.353704
549000,101,4,4.907913,52.388684
265000,58,3,4.946436,52.326171
395000,42,2,4.880279,52.369659
275000,42,2,4.916345,52.383109
4.00E+05,61,2,4.858697,52.370661
450000,55,2,4.925792,52.344742
395000,63,2,4.890125,52.371498
335000,61,2,4.881952,52.389025
425000,82,3,4.925735,52.364335
325000,35,2,4.868498,52.381319
590000,76,4,4.851989,52.381995
345000,48,2,4.880745,52.388005
398011,61,3,4.892619,52.413849
9.00E+05,128,4,4.921707,52.366234
4.00E+05,78,3,4.832758,52.384105
825000,100,3,4.875925,52.347368
415000,69,3,4.964407,52.373057
685000,91,4,4.904866,52.354123
610000,77,4,4.854361,52.368574
295000,59,3,4.946534,52.394352
339000,47,2,4.926678,52.36264
310000,78,3,4.806801,52.364911
395000,115,6,4.995049,52.2976
335000,49,2,4.934237,52.364224
275000,64,2,4.832681,52.372996
425000,69,4,4.851176,52.383021
225000,54,2,4.975727,52.326205
5.00E+05,113,6,4.830151,52.383526
6.00E+05,159,6,4.982447,52.315883
3.00E+05,41,2,4.867456,52.375584
350000,68,3,4.829034,52.36373
475000,106,5,4.784425,52.345886
510000,91,3,4.909786,52.401616
225000,60,2,4.946485,52.319485
545000,61,2,4.907725,52.365333
550000,66,2,4.895062,52.361956
225000,43,2,4.943668,52.317544
320000,83,3,4.988144,52.299293
360000,49,3,4.854243,52.379548
475000,113,4,4.916194,52.382138
425000,62,3,4.848229,52.375341
395000,81,3,4.878726,52.325783
265000,71,3,4.943523,52.319589
230000,53,2,4.944301,52.320816
750000,116,4,4.913949,52.392914
1.00E+06,122,5,4.860517,52.358293
825000,112,5,4.898909,52.353937
425000,67,2,4.877222,52.344263
369000,56,2,4.934903,52.360041
3.00E+05,46,3,4.920288,52.353214
389000,61,1,4.913147,52.399212
3.00E+05,59,3,4.830106,52.363717
8.00E+05,123,6,4.889777,52.347517
6.00E+05,120,4,4.966154,52.375408
3.00E+05,65,3,4.951253,52.394145
415000,54,2,4.862373,52.345315
325000,77,4,4.95118,52.394073
775000,117,4,4.93174,52.391546
750000,158,6,5.000973,52.353136
650000,102,4,4.922217,52.355442
6.00E+05,108,4,4.967326,52.371556
325000,46,2,4.873501,52.377961
385000,49,3,4.938408,52.365552
875000,96,5,4.884002,52.367652
5.00E+05,52,2,4.881809,52.379633
9.00E+05,120,5,4.948739,52.386865
350000,83,3,4.920989,52.403808
350000,118,5,4.978704,52.305543
450000,62,2,4.847484,52.350909
325000,88,4,4.806863,52.362205
2.00E+05,27,2,4.818173,52.38178
575000,80,3,4.860112,52.372671
325000,81,3,4.81015,52.353861
4.00E+05,47,2,4.90153,52.355844
365000,59,2,4.944414,52.368343
350000,88,3,4.800286,52.380052
3.00E+05,73,4,4.827023,52.354418
375000,90,4,4.992035,52.316742
415000,61,3,4.914021,52.358618
3.00E+05,65,4,4.831964,52.371338
625000,75,3,4.863344,52.370007
315000,102,5,4.983162,52.294189
325000,44,2,4.873179,52.377933
370000,46,2,4.865067,52.369611
298000,43,2,4.920012,52.386342
375000,56,3,4.933659,52.364743
325000,81,3,4.819431,52.382253
325000,42,2,4.940171,52.364934
375000,54,2,4.870127,52.372608
295000,46,2,4.837695,52.383556
375000,44,2,4.884769,52.384121
295000,65,4,4.798255,52.378644
275000,48,2,5.014044,52.350961
345000,47,2,4.899374,52.347656
5.00E+05,82,3,4.846047,52.37786
390000,58,2,4.853953,52.365813
4.00E+05,58,2,4.928824,52.363772
250000,70,3,4.9685,52.316374
625000,72,4,4.899724,52.355854
550000,97,3,4.996295,52.359277
585000,87,3,4.941549,52.377347
425000,142,6,4.977631,52.291519
3.00E+05,85,3,4.945566,52.403049
3.00E+05,45,2,4.870505,52.372951
275000,73,2,4.983209,52.29383
525000,69,3,4.892282,52.384356
725000,88,4,4.855145,52.361963
350000,48,2,4.884769,52.384121
275000,57,2,4.803983,52.355143
450000,97,4,4.802374,52.342435
325000,47,3,4.852015,52.364636
425000,48,2,4.881348,52.380215
3.00E+05,44,2,4.859323,52.324179
330000,108,5,4.971123,52.297841
215000,43,2,4.945155,52.324953
695000,88,3,4.874092,52.367502
750000,108,3,4.915967,52.368943
4.00E+05,79,3,5.009082,52.351935
585000,82,3,4.872665,52.374093
395000,44,2,4.907275,52.358042
250000,84,3,4.951827,52.399557
725000,103,3,4.857291,52.370304
275000,92,4,4.795583,52.348505
7.00E+05,107,3,4.908421,52.364761
260000,83,4,4.969802,52.316702
275000,83,3,4.9688878,52.2923239
535000,75,4,4.861328,52.372929
465000,94,4,4.838028,52.377317
490000,62,3,4.87487,52.363758
375000,69,4,4.799561,52.37431
425000,58,3,4.852231,52.361321
265000,109,5,4.976731,52.325525
425000,58,3,4.858639,52.369339
525000,122,5,4.950277,52.396263
625000,77,4,4.846204,52.349933
380000,77,4,4.795007,52.375474
950000,148,7,4.869544,52.345822
350000,41,2,4.863282,52.363713
325000,70,4,4.830209,52.363691
550000,74,2,4.874332,52.369651
3.00E+05,85,4,4.947646,52.402266
245000,50,2,4.883861,52.417569
230000,28,1,4.920676,52.338759
395000,53,3,4.851991,52.365663
365000,40,2,4.887941,52.35683
698000,89,5,4.894517,52.351528
495000,117,6,4.803386,52.364806
375000,80,4,4.840015,52.363904
375000,88,3,4.806525,52.359424
1200000,231,8,4.979592,52.360578
425000,71,3,4.855635,52.37986
730000,89,3,4.88956,52.345979
325000,48,4,4.849943,52.384166
275000,78,3,4.972526,52.321871
535000,67,2,4.894107,52.363363
375000,57,3,4.850695,52.383963
775000,126,5,4.932925,52.358206
375000,78,3,4.814789,52.382249
4.00E+05,54,3,4.849224,52.350198
3.00E+05,40,2,4.91803,52.357424
375000,104,3,4.983057,52.318698
295000,91,3,4.981371,52.313749
345000,57,2,4.878162,52.325097
260000,71,3,4.967708,52.317064
225000,56,2,4.992412,52.295757
425000,50,2,4.852084,52.366236
475000,90,3,4.996258,52.358696
425000,108,3,4.808883,52.363274
1170000,121,2,4.883377,52.373492
520000,69,3,4.923063,52.35637
350000,68,4,4.829524,52.363328
289500,108,5,4.974531,52.325473
480000,127,5,4.80722,52.344454
325000,84,4,4.917985,52.405783
250000,57,2,4.803968,52.355143
350000,87,3,4.802688,52.382381
6.00E+05,110,4,4.981387,52.360243
350000,87,3,4.954462,52.393215
525000,70,3,4.901743,52.355153
5.00E+05,89,3,4.947119,52.376909
7.00E+05,106,3,4.922868,52.371793
3.00E+05,90,4,4.984519,52.299712
175000,28,1,4.945552,52.402968
365000,78,4,4.829607,52.372067
NA,107,3,4.945022,52.369244
375000,84,4,4.7958,52.38318
425000,74,3,4.878057,52.385387
1320000,230,8,4.894964,52.358917
469000,109,3,4.891949,52.423805
270000,38,1,4.870659,52.383656
325000,44,3,4.889549,52.361331
650000,113,6,4.903976,52.407476
550000,90,3,4.930426,52.371197
1150000,163,7,4.921657,52.351422
385000,50,2,4.870167,52.384355
325000,43,2,4.859637,52.375563
750000,155,6,4.832889,52.367757
465000,73,4,4.918062,52.387403
3.00E+05,67,3,4.783188,52.350225
250000,84,3,4.952138,52.400571
5.00E+05,64,3,4.854288,52.359955
875000,108,4,4.655161,52.376552
399000,62,2,4.853523,52.356392
925000,145,4,4.933939,52.374739
875000,123,4,4.894206,52.33822
930000,123,4,4.894206,52.33822
725000,101,4,4.931075,52.369038
575000,119,3,4.845779,52.37755
6.00E+05,132,4,5.00033,52.35282
6.00E+05,146,7,4.784642,52.346094
265000,72,3,4.9684,52.317292
350000,46,3,4.873501,52.377961
340000,78,3,4.829629,52.372955
350000,58,3,4.84314,52.378753
430000,56,2,4.917761,52.356215
975000,180,5,4.900779,52.408945
5.00E+05,84,3,4.913659,52.343221
850000,123,7,4.869096,52.366755
645000,89,3,4.921169,52.364353
425000,49,3,4.901398,52.355807
1090000,149,3,4.890751,52.349678
895000,184,6,4.986808,52.364679
465000,104,3,4.918343,52.405579
7.00E+05,79,3,4.911378,52.342112
325000,55,2,4.865786,52.328459
695000,107,4,4.934082,52.371077
825000,97,4,4.902906,52.35753
280000,64,3,4.811771,52.355712
550000,160,6,4.811827,52.353554
325000,77,3,4.945778,52.393622
325000,77,3,4.899777,52.40313
275000,111,5,4.970438,52.294244
340000,46,2,4.856593,52.380808
550000,72,3,4.85255,52.367739
5.00E+05,84,3,4.947231,52.377422
750000,111,4,4.892182,52.401519
499000,92,4,4.837996,52.37746
1750000,212,4,4.883097,52.369689
1250000,202,6,4.866447,52.367118
319000,50,2,4.847496,52.378843
1100000,147,4,4.878689,52.353303
325000,47,2,4.909223,52.34615
475000,109,4,4.801543,52.344264
3.00E+05,88,2,4.807168,52.361653
265000,66,2,4.930826,52.398984
399500,99,3,4.792451,52.354762
725000,173,7,4.773171,52.349954
625000,95,5,4.855072,52.377799
399000,40,2,4.886109,52.363042
445000,66,3,4.852373,52.377544
550000,145,3,5.000011,52.352324
675000,84,4,4.855835,52.360699
325000,84,3,4.877949,52.334686
6.00E+05,82,4,4.852076,52.381479
375000,57,3,4.852248,52.361159
575000,82,4,4.906854,52.341296
475000,79,3,4.829591,52.372067
5.00E+05,62,3,4.914296,52.358996
275000,94,4,4.95696,52.311632
1775000,177,9,4.865595,52.353408
525000,63,3,4.865952,52.361768
4.00E+05,52,2,4.908012,52.356419
375000,80,4,4.882011,52.330956
550000,87,2,4.942751,52.373127
525000,76,2,4.922699,52.355605
760000,90,4,4.886718,52.380687
7.00E+05,123,6,4.91506,52.393449
675000,75,3,4.876322,52.365121
325000,97,4,4.955054,52.317674
459000,75,3,4.94178,52.357269
350000,46,2,4.863132,52.36504
325000,43,2,4.934601,52.36596
275000,81,3,4.810853,52.354008
275000,57,2,4.937616,52.397321
7.00E+05,140,5,4.837658,52.350226
209000,59,2,4.975309,52.296957
1325000,150,5,4.896605,52.359176
850000,120,3,4.89518,52.361947
485000,105,4,5.000345,52.352811
385000,53,2,4.901411,52.347889
650000,125,5,4.901879,52.406292
450000,64,3,4.850607,52.352379
450000,87,3,4.990866,52.360697
6.00E+05,90,3,4.844731,52.349856
245000,71,3,4.787319,52.359244
5.00E+05,70,3,4.869195,52.380747
6.00E+05,80,2,4.865609,52.365991
595000,73,3,4.910454,52.34221
995000,127,4,4.889858,52.357323
475000,118,5,5.015376,52.305296
275000,78,3,4.972526,52.321871
285000,85,4,4.950198,52.39832
585000,75,3,4.853451,52.364831
310000,75,3,4.790104,52.381911
495000,81,4,4.870861,52.332238
475000,54,2,4.863781,52.361606
425000,57,3,4.849341,52.384118
875000,161,4,4.777448,52.350596
560000,73,3,4.857873,52.360923
7.00E+05,130,6,5.001384,52.354845
1150000,144,6,4.875312,52.363634
NA,81,3,4.880976,52.389623
1250000,149,6,4.868023,52.370359
275000,40,2,4.921147,52.373395
575000,145,5,4.78754,52.348859
1025000,125,3,4.860922,52.358834
340000,47,2,4.856817,52.380458
550000,125,5,4.84351,52.363743
4.00E+05,59,2,4.871359,52.378707
235000,33,2,4.836971,52.362788
335000,93,4,4.92221,52.409314
975000,221,5,4.838629,52.37491
450000,64,2,4.930926,52.377783
350000,53,2,4.930264,52.363679
725000,118,4,4.87252,52.392217
340000,44,3,4.864588,52.365393
1175000,164,2,4.92035,52.366858
325000,92,4,4.936866,52.394487
7.00E+05,103,4,4.99474,52.392365
295000,82,3,4.808181,52.357419
335000,44,2,4.904467,52.35165
3.00E+05,38,2,4.86116,52.363527
6.00E+05,83,4,4.925816,52.363614
675000,72,3,4.860601,52.352451
495000,80,4,4.859791,52.371205
539000,75,3,4.860239,52.370632
499000,75,3,4.902863,52.342664
475000,67,3,4.860847,52.358995
8.00E+05,130,5,4.932943,52.358329
1625000,257,9,4.869761,52.348636
315000,99,4,4.78504,52.354616
450000,111,4,4.785975,52.347341
495000,54,3,4.86547,52.3628
550000,78,3,4.877208,52.342458
4.00E+05,89,3,5.012134,52.349139
525000,70,3,4.849656,52.353346
350000,98,4,4.952422,52.316855
620000,86,4,4.92068,52.354968
375000,89,5,4.915413,52.40997
550000,114,6,4.942035,52.393266
1095000,204,6,4.876183,52.366972
485000,93,5,4.918067,52.385525
385000,87,3,4.793277,52.381864
1575000,138,4,4.961457,52.38257
249000,33,2,4.883913,52.327585
350000,74,4,4.832383,52.373012
6.00E+05,136,4,4.802149,52.350604
425000,79,3,4.874705,52.332273
345000,69,4,4.795948,52.374337
640000,58,3,4.907085,52.372907
645000,58,3,4.907085,52.372907
350000,92,3,4.802618,52.378567
350000,65,2,4.935377,52.358917
475000,115,5,4.776722,52.351033
4.00E+05,46,1,4.892211,52.376702
450000,96,3,4.993345,52.355933
450000,59,2,4.891511,52.401727
375000,54,3,4.919118,52.352814
485000,69,3,4.866392,52.365536
1100000,136,3,4.872591,52.356414
1.00E+06,220,7,4.948314,52.400138
375000,43,2,4.860276,52.347686
525000,138,5,4.774348,52.350823
1325000,162,4,4.954375528,52.3679823
335000,92,4,4.921825,52.409609
4.00E+05,58,3,4.920732,52.352847
